partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
2	1	Half	0	0	0	1	Flat	correct	1	Flat	957	1156
2	1	Half	1	0	0	1	Flat	correct	1	Flat	781	1020
2	1	Half	2	0	0	2	Tip	correct	2	Tip	781	930
2	1	Half	3	0	0	2	Tip	correct	2	Tip	699	814
2	1	Half	4	0	0	1	Flat	error			707	0
2	1	Half	5	0	0	1	Flat	correct	1	Flat	714	911
2	1	Half	6	0	0	2	Tip	correct	2	Tip	617	733
2	1	Half	7	0	0	1	Flat	error			1289	0
2	1	Half	8	0	0	2	Tip	correct	2	Tip	1053	1202
2	1	Half	9	0	0	2	Tip	correct	2	Tip	637	736
2	1	Half	10	0	0	1	Flat	error			760	0
2	1	Half	11	0	0	2	Tip	correct	2	Tip	650	774
2	1	Half	0	1	0	1	Flat	error			639	0
2	1	Half	1	1	0	1	Flat	correct	1	Flat	795	984
2	1	Half	2	1	0	2	Tip	correct	2	Tip	586	685
2	1	Half	3	1	0	2	Tip	correct	2	Tip	784	916
2	1	Half	4	1	0	1	Flat	error			936	0
2	1	Half	5	1	0	1	Flat	correct	1	Flat	883	1155
2	1	Half	6	1	0	2	Tip	correct	2	Tip	724	839
2	1	Half	7	1	0	1	Flat	correct	1	Flat	770	1016
2	1	Half	8	1	0	2	Tip	correct	2	Tip	667	799
2	1	Half	9	1	0	2	Tip	correct	2	Tip	720	827
2	1	Half	10	1	0	1	Flat	correct	1	Flat	823	1095
2	1	Half	11	1	0	2	Tip	correct	2	Tip	605	720
2	1	Half	0	2	0	1	Flat	correct	1	Flat	1024	1264
2	1	Half	1	2	0	1	Flat	error			1134	0
2	1	Half	2	2	0	2	Tip	correct	2	Tip	626	708
2	1	Half	3	2	0	2	Tip	correct	2	Tip	614	696
2	1	Half	4	2	0	1	Flat	error			919	0
2	1	Half	5	2	0	1	Flat	error			787	0
2	1	Half	6	2	0	2	Tip	correct	2	Tip	617	691
2	1	Half	7	2	0	1	Flat	error			783	0
2	1	Half	8	2	0	2	Tip	correct	2	Tip	634	716
2	1	Half	9	2	0	2	Tip	correct	2	Tip	705	779
2	1	Half	10	2	0	1	Flat	error			748	0
2	1	Half	11	2	0	2	Tip	correct	2	Tip	638	712
2	1	Half	0	3	0	1	Flat	correct	1	Flat	884	1189
2	1	Half	1	3	0	1	Flat	error			791	0
2	1	Half	2	3	0	2	Tip	correct	2	Tip	661	735
2	1	Half	3	3	0	2	Tip	correct	2	Tip	498	581
2	1	Half	4	3	0	1	Flat	error			750	0
2	1	Half	5	3	0	1	Flat	error			759	0
2	1	Half	6	3	0	2	Tip	correct	2	Tip	484	567
2	1	Half	7	3	0	1	Flat	error			813	0
2	1	Half	8	3	0	2	Tip	correct	2	Tip	574	678
2	1	Half	9	3	0	2	Tip	correct	2	Tip	651	750
2	1	Half	10	3	0	1	Flat	error			817	0
2	1	Half	11	3	0	2	Tip	correct	2	Tip	569	659
2	1	Half	0	4	0	1	Flat	correct	1	Flat	844	1182
2	1	Half	1	4	0	1	Flat	error			879	0
2	1	Half	2	4	0	2	Tip	correct	2	Tip	580	671
2	1	Half	3	4	0	2	Tip	correct	2	Tip	757	832
2	1	Half	4	4	0	1	Flat	error			870	0
2	1	Half	5	4	0	1	Flat	error			1075	0
2	1	Half	6	4	0	2	Tip	correct	2	Tip	558	649
2	1	Half	7	4	0	1	Flat	correct	1	Flat	1157	1726
2	1	Half	8	4	0	2	Tip	correct	2	Tip	604	687
2	1	Half	9	4	0	2	Tip	correct	2	Tip	651	742
2	1	Half	10	4	0	1	Flat	correct	1	Flat	894	1315
2	1	Half	11	4	0	2	Tip	correct	2	Tip	584	658
2	2	Combined	0	0	0	1	Flat	correct	1	Flat	802	1067
2	2	Combined	1	0	0	2	Tip	error			34	0
2	2	Combined	2	0	0	2	Flat	correct	2	Flat	1250	1736
2	2	Combined	3	0	0	2	Tip	correct	2	Tip	707	773
2	2	Combined	4	0	0	1	Flat	correct	1	Flat	769	1033
2	2	Combined	5	0	0	1	Tip	correct	1	Tip	535	609
2	2	Combined	6	0	0	1	Tip	correct	1	Tip	1105	1179
2	2	Combined	7	0	0	2	Flat	error			726	0
2	2	Combined	8	0	0	1	Flat	error			809	0
2	2	Combined	9	0	0	2	Flat	error			953	0
2	2	Combined	10	0	0	1	Tip	correct	1	Tip	764	838
2	2	Combined	11	0	0	2	Tip	correct	2	Tip	663	754
2	2	Combined	0	1	0	1	Flat	error			785	0
2	2	Combined	1	1	0	2	Tip	correct	2	Tip	578	669
2	2	Combined	2	1	0	2	Flat	correct	2	Flat	1201	1862
2	2	Combined	3	1	0	2	Tip	correct	2	Tip	691	782
2	2	Combined	4	1	0	1	Flat	correct	1	Flat	881	1136
2	2	Combined	5	1	0	1	Tip	correct	1	Tip	633	716
2	2	Combined	6	1	0	1	Tip	correct	1	Tip	545	611
2	2	Combined	7	1	0	2	Flat	error			855	0
2	2	Combined	8	1	0	1	Flat	error			876	0
2	2	Combined	9	1	0	2	Flat	error			1112	0
2	2	Combined	10	1	0	1	Tip	correct	1	Tip	542	625
2	2	Combined	11	1	0	2	Tip	correct	2	Tip	661	759
2	2	Combined	0	2	0	1	Flat	error			951	0
2	2	Combined	1	2	0	2	Tip	correct	2	Tip	524	623
2	2	Combined	2	2	0	2	Flat	error			1017	0
2	2	Combined	3	2	0	2	Tip	correct	2	Tip	579	669
2	2	Combined	4	2	0	1	Flat	correct	1	Flat	1032	1518
2	2	Combined	5	2	0	1	Tip	correct	1	Tip	558	657
2	2	Combined	6	2	0	1	Tip	correct	1	Tip	512	594
2	2	Combined	7	2	0	2	Flat	error			1050	0
2	2	Combined	8	2	0	1	Flat	error			1079	0
2	2	Combined	9	2	0	2	Flat	error			917	0
2	2	Combined	10	2	0	1	Tip	correct	1	Tip	692	758
2	2	Combined	11	2	0	2	Tip	correct	2	Tip	706	797
2	2	Combined	0	3	0	1	Flat	error			1078	0
2	2	Combined	1	3	0	2	Tip	correct	2	Tip	583	657
2	2	Combined	2	3	0	2	Flat	error			1055	0
2	2	Combined	3	3	0	2	Tip	correct	2	Tip	617	690
2	2	Combined	4	3	0	1	Flat	correct	1	Flat	906	1336
2	2	Combined	5	3	0	1	Tip	correct	1	Tip	520	619
2	2	Combined	6	3	0	1	Tip	correct	1	Tip	812	944
2	2	Combined	7	3	0	2	Flat	error			1047	0
2	2	Combined	8	3	0	1	Flat	correct	1	Flat	994	1455
2	2	Combined	9	3	0	2	Flat	error			949	0
2	2	Combined	10	3	0	1	Tip	correct	1	Tip	592	691
2	2	Combined	11	3	0	2	Tip	correct	2	Tip	690	781
2	2	Combined	0	4	0	1	Flat	correct	1	Flat	1111	1697
2	2	Combined	1	4	0	2	Tip	correct	2	Tip	674	748
2	2	Combined	2	4	0	2	Flat	error			1120	0
2	2	Combined	3	4	0	2	Tip	error			94	0
2	2	Combined	4	4	0	1	Flat	error			17	0
