partiID	condiID	gestureSet	trial	block	rep	fNmb	gesture	result	recFNmb	recGest	t1st(ms)	tEnd(ms)
1	0	Half	0	0	0	1	Tip	correct	1	Tip	2041	2297
1	0	Half	1	0	0	2	Flat	correct	2	Flat	1687	1994
1	0	Half	2	0	0	2	Flat	error			1543	0
1	0	Half	3	0	0	2	Flat	error			1498	0
1	0	Half	4	0	0	1	Tip	correct	1	Tip	1594	1677
1	0	Half	5	0	0	1	Tip	correct	1	Tip	2719	2820
1	0	Half	6	0	0	1	Tip	correct	1	Tip	1192	1308
1	0	Half	7	0	0	1	Tip	correct	1	Tip	978	1077
1	0	Half	8	0	0	2	Flat	error			1247	0
1	0	Half	9	0	0	2	Flat	error			1116	0
1	0	Half	10	0	0	1	Tip	correct	1	Tip	1042	1149
1	0	Half	11	0	0	2	Flat	error			79	0
1	0	Half	0	1	0	1	Tip	correct	1	Tip	1882	1998
1	0	Half	1	1	0	2	Flat	error			1376	0
1	0	Half	2	1	0	2	Flat	correct	2	Flat	1171	1426
1	0	Half	3	1	0	2	Flat	correct	2	Flat	1919	2201
1	0	Half	4	1	0	1	Tip	correct	1	Tip	2239	2322
1	0	Half	5	1	0	1	Tip	correct	1	Tip	2171	2247
1	0	Half	6	1	0	1	Tip	correct	1	Tip	973	1056
1	0	Half	7	1	0	1	Tip	correct	1	Tip	977	1061
1	0	Half	8	1	0	2	Flat	error			1314	0
1	0	Half	9	1	0	2	Flat	error			1036	0
1	0	Half	10	1	0	1	Tip	correct	1	Tip	1151	1243
1	0	Half	11	1	0	2	Flat	correct	2	Flat	1500	1675
1	0	Half	0	2	0	1	Tip	correct	1	Tip	1180	1231
1	0	Half	1	2	0	2	Flat	error			1589	0
1	0	Half	2	2	0	2	Flat	error			1135	0
1	0	Half	3	2	0	2	Flat	error			2163	0
1	0	Half	4	2	0	1	Tip	correct	1	Tip	1571	1622
1	0	Half	5	2	0	1	Tip	correct	1	Tip	1363	1455
1	0	Half	6	2	0	1	Tip	correct	1	Tip	41	57
1	0	Half	7	2	0	1	Tip	correct	1	Tip	1320	1370
1	0	Half	8	2	0	2	Flat	correct	2	Flat	1257	1480
1	0	Half	9	2	0	2	Flat	correct	2	Flat	1092	1306
1	0	Half	10	2	0	1	Tip	correct	1	Tip	1181	1272
1	0	Half	11	2	0	2	Flat	error			1321	0
1	0	Half	0	3	0	1	Tip	correct	1	Tip	1305	1380
1	0	Half	1	3	0	2	Flat	error			1146	0
1	0	Half	2	3	0	2	Flat	error			50	0
1	0	Half	3	3	0	2	Flat	correct	2	Flat	1304	1562
1	0	Half	4	3	0	1	Tip	correct	1	Tip	1204	1254
1	0	Half	5	3	0	1	Tip	correct	1	Tip	4603	4670
1	0	Half	6	3	0	1	Tip	correct	1	Tip	57	130
1	0	Half	7	3	0	1	Tip	correct	1	Tip	905	939
1	0	Half	8	3	0	2	Flat	error			1242	0
1	0	Half	9	3	0	2	Flat	error			1025	0
1	0	Half	10	3	0	1	Tip	correct	1	Tip	918	1000
1	0	Half	11	3	0	2	Flat	error			1211	0
1	0	Half	0	4	0	1	Tip	correct	1	Tip	1323	1373
1	0	Half	1	4	0	2	Flat	error			1052	0
1	0	Half	2	4	0	2	Flat	error			1137	0
1	0	Half	3	4	0	2	Flat	error			1930	0
1	0	Half	4	4	0	1	Tip	correct	1	Tip	1466	1550
1	0	Half	5	4	0	1	Tip	correct	1	Tip	1544	1595
1	0	Half	6	4	0	1	Tip	correct	1	Tip	3214	3264
1	0	Half	7	4	0	1	Tip	correct	1	Tip	980	1047
1	0	Half	8	4	0	2	Flat	error			1372	0
1	0	Half	9	4	0	2	Flat	error			1354	0
1	0	Half	10	4	0	1	Tip	correct	1	Tip	1008	1059
1	0	Half	11	4	0	2	Flat	error			35	0
1	1	Half	0	0	0	2	Tip	correct	2	Tip	2784	2901
1	1	Half	1	0	0	2	Tip	correct	2	Tip	2389	2481
1	1	Half	2	0	0	1	Flat	correct	1	Flat	1516	1722
1	1	Half	3	0	0	1	Flat	correct	1	Flat	1174	1413
1	1	Half	4	0	0	1	Flat	correct	1	Flat	1284	1558
1	1	Half	5	0	0	2	Tip	correct	2	Tip	1180	1295
1	1	Half	6	0	0	1	Flat	correct	1	Flat	1329	1625
1	1	Half	7	0	0	2	Tip	correct	2	Tip	1445	1554
1	1	Half	8	0	0	2	Tip	correct	2	Tip	1396	1472
1	1	Half	9	0	0	2	Tip	correct	2	Tip	1261	1337
1	1	Half	10	0	0	1	Flat	correct	1	Flat	1398	1697
1	1	Half	11	0	0	1	Flat	error			1572	0
1	1	Half	0	1	0	2	Tip	correct	2	Tip	1136	1187
1	1	Half	1	1	0	2	Tip	correct	2	Tip	1659	1735
1	1	Half	2	1	0	1	Flat	error			1252	0
1	1	Half	3	1	0	1	Flat	error			1778	0
1	1	Half	4	1	0	1	Flat	error			2021	0
1	1	Half	5	1	0	2	Tip	correct	2	Tip	1284	1360
1	1	Half	6	1	0	1	Flat	error			2467	0
1	1	Half	7	1	0	2	Tip	correct	2	Tip	1182	1241
1	1	Half	8	1	0	2	Tip	correct	2	Tip	1008	1067
1	1	Half	9	1	0	2	Tip	correct	2	Tip	1001	1083
1	1	Half	10	1	0	1	Flat	correct	1	Flat	1337	1592
